,name,repeats,classic_lstm,peephole_lstm,custom_lstm
0,repeating_n5,0,2.7166679572587782e-08,1.2516975012033527e-08,8.19563861220729e-10
1,repeating_n5,1,1.2964010309701735e-08,3.278255444882916e-09,3.4626573608420586e-08
2,repeating_n5,2,3.8743017682918435e-08,6.854534273514901e-09,1.6838312077993578e-08
3,repeating_n5,3,3.02493567971851e-08,3.0621887248116764e-08,2.309679913992113e-08
4,repeating_n5,4,7.070600815950456e-08,1.9371508841459217e-08,3.02493567971851e-08
5,repeating_n5,5,1.4901161193847656e-08,1.7881394143159923e-08,9.909272513652922e-09
6,repeating_n5,6,5.871057595641105e-08,5.066394859198908e-09,2.89455055479948e-08
7,repeating_n5,7,3.9041040622578294e-08,2.38418573772492e-09,8.493661773911754e-09
8,repeating_n5,8,7.495284393144175e-08,3.5073608017910374e-08,2.9057265038545665e-08
9,repeating_n5,9,3.572087692305104e-08,2.8684734587614003e-08,6.482005154850867e-09
10,repeating_n20,0,7.07618923456721e-08,0.07073606550693512,5.3402036570560085e-08
11,repeating_n20,1,6.275596388150007e-05,0.039284173399209976,5.811453007709133e-08
12,repeating_n20,2,4.187226210206063e-08,0.03444640710949898,4.212837723116536e-08
13,repeating_n20,3,1.3205036566432682e-06,0.07047390192747116,5.8105214861825516e-08
14,repeating_n20,4,7.036956617412216e-08,0.06799182295799255,4.4815241295736996e-08
15,repeating_n20,5,0.0033349532168358564,0.03317321464419365,5.1858659588788214e-08
16,repeating_n20,6,4.790723195924329e-08,0.09275886416435242,4.1294843100558865e-08
17,repeating_n20,7,6.940215513395742e-08,0.03777022659778595,4.326750158156756e-08
18,repeating_n20,8,4.7683716530855236e-08,0.03864208981394768,4.094093952744515e-08
19,repeating_n20,9,5.081296094999743e-08,0.016570957377552986,4.149973520384265e-08
20,repeating_n100,0,0.004792484920471907,0.11144698411226273,7.938593427070373e-08
21,repeating_n100,1,0.007217958569526672,0.17337405681610107,8.679926111199165e-08
22,repeating_n100,2,0.006263027898967266,0.17516590654850006,0.0013790493831038475
23,repeating_n100,3,0.0044279079884290695,0.03131655603647232,8.119270233919451e-08
24,repeating_n100,4,0.01743830367922783,0.06844960153102875,7.731839701818899e-08
25,repeating_n100,5,0.007866785861551762,0.19597245752811432,6.906688554408902e-08
26,repeating_n100,6,0.005367746576666832,0.03262145444750786,0.0031419580336660147
27,repeating_n100,7,0.0038612433709204197,0.192555233836174,0.002106154104694724
28,repeating_n100,8,0.007511657662689686,0.18082387745380402,0.00028226315043866634
29,repeating_n100,9,0.004322378430515528,0.17496223747730255,7.856637296299596e-08
30,repeating_n50_with_noise,0,0.04770706593990326,0.058461397886276245,0.030189715325832367
31,repeating_n50_with_noise,1,0.04020363837480545,0.06482227146625519,0.03431497886776924
32,repeating_n50_with_noise,2,0.05457700416445732,0.060707904398441315,0.03266376629471779
