,name,seed,repeats,stock,date,lstm_xs,lstm,dnn_xs,dnn,cnn_xs,cnn,last_value,regression,arima,knn,sample_entropy,mad,num_edges,compression,perm_entropy,noise,mean_trend,trend_complexity,period,period_complexity,spectral_entropy_fft,spectral_entropy_psd
0,size_1000_seed_1_config_fetch_stock_data_symbol_AAPL_config_fetch_stock_data_data_type_Close_config_fetch_stock_data_interval_1d_config_fetch_stock_data_start_date_2005-06-16_lookback_10,1,0,AAPL,2005-06-16,0.020872067660093307,0.02864200621843338,0.05949912220239639,0.033403001725673676,0.03329101577401161,0.02492927387356758,0.012971367686986923,0.019411680340766915,0.017578503003236864,0.015556401301158776,0.2868054802639925,0.013448235154254577,0.5295295295295295,1.8125,1.4727463123927855,1.1594391321592913e-17,0.4831616894820893,0.0005425591593862196,1.0,0.14450981024025294,3.8148661242030686,1.6692849470515319
1,size_1000_seed_2_config_fetch_stock_data_symbol_AAPL_config_fetch_stock_data_data_type_Close_config_fetch_stock_data_interval_1d_config_fetch_stock_data_start_date_2005-06-16_lookback_10,2,1,AAPL,2005-06-16,0.039568401873111725,0.01811862178146839,0.03794484585523605,0.039120957255363464,0.05684585124254227,0.034187499433755875,0.012971367686986923,0.019411680340766915,0.017578503003236864,0.015556401301158776,0.2868054802639925,0.013448235154254577,0.5295295295295295,1.8125,1.4727463123927855,1.1594391321592913e-17,0.4831616894820893,0.0005425591593862196,1.0,0.14450981024025294,3.8148661242030686,1.6692849470515319
2,size_1000_seed_3_config_fetch_stock_data_symbol_AAPL_config_fetch_stock_data_data_type_Close_config_fetch_stock_data_interval_1d_config_fetch_stock_data_start_date_2005-06-16_lookback_10,3,2,AAPL,2005-06-16,0.018946530297398567,0.022878818213939667,0.04251737892627716,0.043811507523059845,0.05108590051531792,0.042386963963508606,0.012971367686986923,0.019411680340766915,0.017578503003236864,0.015556401301158776,0.2868054802639925,0.013448235154254577,0.5295295295295295,1.8125,1.4727463123927855,1.1594391321592913e-17,0.4831616894820893,0.0005425591593862196,1.0,0.14450981024025294,3.8148661242030686,1.6692849470515319
3,size_1000_seed_4_config_fetch_stock_data_symbol_AAPL_config_fetch_stock_data_data_type_Close_config_fetch_stock_data_interval_1d_config_fetch_stock_data_start_date_2005-06-16_lookback_10,4,3,AAPL,2005-06-16,0.02818424068391323,0.024265510961413383,0.05003366619348526,0.07076423615217209,0.033037539571523666,0.03396458551287651,0.012971367686986923,0.019411680340766915,0.017578503003236864,0.015556401301158776,0.2868054802639925,0.013448235154254577,0.5295295295295295,1.8125,1.4727463123927855,1.1594391321592913e-17,0.4831616894820893,0.0005425591593862196,1.0,0.14450981024025294,3.8148661242030686,1.6692849470515319
4,size_1000_seed_5_config_fetch_stock_data_symbol_AAPL_config_fetch_stock_data_data_type_Close_config_fetch_stock_data_interval_1d_config_fetch_stock_data_start_date_2005-06-16_lookback_10,5,4,AAPL,2005-06-16,0.01916402019560337,0.03247033432126045,0.03478202223777771,0.03370261564850807,0.06708348542451859,0.032261718064546585,0.012971367686986923,0.019411680340766915,0.017578503003236864,0.015556401301158776,0.2868054802639925,0.013448235154254577,0.5295295295295295,1.8125,1.4727463123927855,1.1594391321592913e-17,0.4831616894820893,0.0005425591593862196,1.0,0.14450981024025294,3.8148661242030686,1.6692849470515319
5,size_1000_seed_6_config_fetch_stock_data_symbol_AAPL_config_fetch_stock_data_data_type_Close_config_fetch_stock_data_interval_1d_config_fetch_stock_data_start_date_2005-06-16_lookback_10,6,5,AAPL,2005-06-16,0.019436608999967575,0.0189205352216959,0.044387560337781906,0.045833736658096313,0.0566609725356102,0.038049813359975815,0.012971367686986923,0.019411680340766915,0.017578503003236864,0.015556401301158776,0.2868054802639925,0.013448235154254577,0.5295295295295295,1.8125,1.4727463123927855,1.1594391321592913e-17,0.4831616894820893,0.0005425591593862196,1.0,0.14450981024025294,3.8148661242030686,1.6692849470515319
6,size_1000_seed_7_config_fetch_stock_data_symbol_AAPL_config_fetch_stock_data_data_type_Close_config_fetch_stock_data_interval_1d_config_fetch_stock_data_start_date_2005-06-16_lookback_10,7,6,AAPL,2005-06-16,0.0584416501224041,0.015424540266394615,0.04959849268198013,0.040555257350206375,0.05192213132977486,0.034118786454200745,0.012971367686986923,0.019411680340766915,0.017578503003236864,0.015556401301158776,0.2868054802639925,0.013448235154254577,0.5295295295295295,1.8125,1.4727463123927855,1.1594391321592913e-17,0.4831616894820893,0.0005425591593862196,1.0,0.14450981024025294,3.8148661242030686,1.6692849470515319
7,size_1000_seed_8_config_fetch_stock_data_symbol_AAPL_config_fetch_stock_data_data_type_Close_config_fetch_stock_data_interval_1d_config_fetch_stock_data_start_date_2005-06-16_lookback_10,8,7,AAPL,2005-06-16,0.024090483784675598,0.02072468213737011,0.06431122869253159,0.05061371624469757,0.06920294463634491,0.032334234565496445,0.012971367686986923,0.019411680340766915,0.017578503003236864,0.015556401301158776,0.2868054802639925,0.013448235154254577,0.5295295295295295,1.8125,1.4727463123927855,1.1594391321592913e-17,0.4831616894820893,0.0005425591593862196,1.0,0.14450981024025294,3.8148661242030686,1.6692849470515319
8,size_1000_seed_9_config_fetch_stock_data_symbol_AAPL_config_fetch_stock_data_data_type_Close_config_fetch_stock_data_interval_1d_config_fetch_stock_data_start_date_2005-06-16_lookback_10,9,8,AAPL,2005-06-16,0.05699031800031662,0.024512607604265213,0.06406101584434509,0.03312688693404198,0.04382649064064026,0.03073347732424736,0.012971367686986923,0.019411680340766915,0.017578503003236864,0.015556401301158776,0.2868054802639925,0.013448235154254577,0.5295295295295295,1.8125,1.4727463123927855,1.1594391321592913e-17,0.4831616894820893,0.0005425591593862196,1.0,0.14450981024025294,3.8148661242030686,1.6692849470515319
9,size_1000_seed_10_config_fetch_stock_data_symbol_AAPL_config_fetch_stock_data_data_type_Close_config_fetch_stock_data_interval_1d_config_fetch_stock_data_start_date_2005-06-16_lookback_10,10,9,AAPL,2005-06-16,0.027922358363866806,0.020304078236222267,0.05746307224035263,0.03950577229261398,0.04419915750622749,0.03150362893939018,0.012971367686986923,0.019411680340766915,0.017578503003236864,0.015556401301158776,0.2868054802639925,0.013448235154254577,0.5295295295295295,1.8125,1.4727463123927855,1.1594391321592913e-17,0.4831616894820893,0.0005425591593862196,1.0,0.14450981024025294,3.8148661242030686,1.6692849470515319
