,name,seed,repeats,difficulty,lstm_xs,lstm,dnn_xs,dnn,cnn_xs,cnn,last_value,regression,arima,knn,sample_entropy,mad,num_edges,compression,perm_entropy,noise,mean_trend,trend_complexity,period,period_complexity,spectral_entropy_fft,spectral_entropy_psd
0,size_1000_seed_1_config_piecewise_linear_num_seg_1_lookback_10,1,0,1,0.007642105687409639,0.002911526011303067,0.003576997434720397,0.0038838135078549385,0.03614396974444389,0.029385263100266457,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,0.0006839832389068667,0.19999864917680643,0.0009910802775024777,0.0,1.53125,0.0,2.2220925335807004e-33,0.5049554013875125,7.092853828016071e-17,1.0,7.048744692612416e-17,3.9500739722598386,0.21637548671978685
1,size_1000_seed_2_config_piecewise_linear_num_seg_1_lookback_10,2,1,1,0.022162819281220436,0.017641305923461914,0.0010823234915733337,0.055584196001291275,0.059452299028635025,0.07127052545547485,0.0009910803055390716,1.2730403489008557e-09,0.0007207099350157119,0.0004951746802466322,0.19999864917680643,0.000991080277502478,0.0,1.546875,0.0,0.0,0.4950445986124876,7.611020016253439e-17,1.0,8.234450153454252e-17,3.9672561832501954,0.21637548671978685
2,size_1000_seed_3_config_piecewise_linear_num_seg_1_lookback_10,3,2,1,0.016575254499912262,0.0011445224517956376,0.08108468353748322,0.04740983992815018,0.00814585667103529,0.052744146436452866,0.0009910803055390716,1.2730403489008557e-09,0.0007207099350157119,0.0005011120207627054,0.19999864917680643,0.000991080277502478,0.0,1.546875,0.0,1.823032833224879e-33,0.4950445986124877,7.13517640373921e-17,1.0,8.416448002931921e-17,3.9672561832501954,0.21637548671978696
3,size_1000_seed_4_config_piecewise_linear_num_seg_1_lookback_10,4,3,1,0.02752586454153061,0.00016725301975384355,0.009672083891928196,0.0029310144018381834,0.023102298378944397,0.011762785725295544,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,0.0006851707072775904,0.19999864917680643,0.0009910802775024777,0.0,1.53125,0.0,6.162975822039155e-33,0.5049554013875125,6.952155849346713e-17,1.0,7.221094021903789e-17,3.9500739722598377,0.21637548671978693
4,size_1000_seed_5_config_piecewise_linear_num_seg_1_lookback_10,5,4,1,0.04295099899172783,0.003403684590011835,0.024031585082411766,0.0035044176038354635,0.004562683869153261,0.019936658442020416,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,0.0006851707072776014,0.19999864917680643,0.0009910802775024777,0.0,1.53125,0.0,6.162975822039155e-33,0.5049554013875124,7.92550844381724e-17,1.0,7.492154816014724e-17,3.9500739722598377,0.21637548671978674
5,size_1000_seed_6_config_piecewise_linear_num_seg_1_lookback_10,6,5,1,0.0359710268676281,0.009550226852297783,0.001346383709460497,0.004058644641190767,0.01289683859795332,0.022597594186663628,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,0.0006851707072775993,0.19999864917680643,0.0009910802775024777,0.0,1.53125,0.0,4.252006701303122e-33,0.5049554013875125,8.017501115112382e-17,1.0,7.538169070396461e-17,3.9500739722598386,0.21637548671978699
6,size_1000_seed_7_config_piecewise_linear_num_seg_1_lookback_10,7,6,1,0.10310019552707672,0.0021858352702111006,0.01851455494761467,0.0035264247562736273,0.008674167096614838,0.0021833789069205523,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,0.0006851707072776014,0.19999864917680643,0.0009910802775024777,0.0,1.53125,0.0,3.0814879110195774e-33,0.5049554013875125,6.978752792734893e-17,1.0,7.115299749369018e-17,3.9500739722598386,0.21637548671978682
7,size_1000_seed_8_config_piecewise_linear_num_seg_1_lookback_10,8,7,1,0.02125389501452446,0.004465833306312561,0.003019746858626604,0.024341747164726257,0.07483384758234024,0.05978625640273094,0.0009910803055390716,1.2730403489008557e-09,0.0007207099350157119,0.0004999245523919675,0.19999864917680643,0.0009910802775024777,0.0,1.546875,0.0,3.277115670899386e-33,0.49504459861248756,8.04009481046299e-17,1.0,7.387554064651963e-17,3.9672561832501954,0.2163754867197869
8,size_1000_seed_9_config_piecewise_linear_num_seg_1_lookback_10,9,8,1,0.012960574589669704,0.0033206474035978317,0.01215405948460102,0.0016766643384471536,0.014490601606667042,0.009832493960857391,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,0.0006804208337946782,0.19999864917680643,0.0009910802775024777,0.0,1.53125,0.0,4.305269821941841e-33,0.5049554013875126,7.488754484566253e-17,1.0,8.149490757744129e-17,3.9500739722598386,0.21637548671978704
9,size_1000_seed_10_config_piecewise_linear_num_seg_1_lookback_10,10,9,1,0.010115588083863258,0.0007315885741263628,0.01806541159749031,0.001060014357790351,0.03163718804717064,0.018890047445893288,0.0009910804219543934,1.7881393440388747e-08,0.0017528833704526681,0.0006792333654239613,0.19999864917680643,0.0009910802775024777,0.0,1.53125,0.0,4.314083075427408e-33,0.5049554013875125,7.90014020866598e-17,1.0,7.818012069258611e-17,3.9500739722598386,0.21637548671978704
