,type,seed,difficulty,lstm,custom_lstm,small_lstm,very_small_lstm,last_value_loss,entropy
0,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,1,1,9.778886589373315e-10,1.862645149230957e-09,4.292566302410705e-12,0.00012513995170593262,0.0,0.0
1,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,2,1,2.0954757928848267e-09,0.0,5.5004428095584146e-11,0.0001474618911743164,0.0,0.0
2,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,3,1,5.979091000085646e-09,3.725290298461914e-09,3.0375565951423766e-10,0.00042748451232910156,0.0,0.0
3,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,4,1,1.862645149230957e-09,0.0,1.4551915228366852e-11,0.00016103684902191162,0.0,0.0
4,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,5,1,6.51925802230835e-09,3.725290298461914e-09,1.7462298274040222e-10,0.00011671893298625946,0.0,0.0
5,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,6,1,0.0,1.490116086078075e-10,1.4870346065620765e-09,1.1654570698738098e-05,0.0,0.0
6,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,7,1,1.862645149230957e-09,0.0,2.3283064365386963e-10,0.0007912218570709229,0.0,0.0
7,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,8,1,1.257285525690932e-10,7.450580430390374e-11,3.2014213502407074e-09,0.0013973265886306763,0.0,0.0
8,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,9,1,1.490116086078075e-10,0.0,8.68077165705472e-10,0.00024447590112686157,0.0,0.0
9,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,10,1,0.0,7.450580430390374e-11,0.0,0.0006805732846260071,0.0,0.0
10,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,11,2,0.0,0.0,0.0,0.0004799365997314453,0.0,0.2638667712932346
11,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,12,2,0.0,3.725290298461914e-09,0.01977759413421154,0.0013653486967086792,0.0,0.6767782959208025
12,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,13,2,0.6836978197097778,0.017163703218102455,1.0001020431518555,0.9032438397407532,0.0,0.2456356185885724
13,size_1000_seed_0_config_piecewise_constant_num_seg_1_lookback_10,14,2,0.0,0.0,0.0,0.0050528645515441895,0.0,0.2938784033219208
